,Extents,Intents
24,"occupation_indUnk,zodiac_sign_Sagittarius,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
25,"occupation_indUnk,zodiac_sign_Scorpio,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
26,"occupation_indUnk,zodiac_sign_Taurus,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
27,"topic_0,zodiac_sign_Aries,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
28,"topic_0,zodiac_sign_Capricorn,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
29,"topic_0,zodiac_sign_Gemini,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
30,"topic_0,zodiac_sign_Libra,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
31,"topic_0,zodiac_sign_Sagittarius,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
32,"topic_0,zodiac_sign_Sagittarius,sarcasm_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
33,"topic_0,zodiac_sign_Scorpio,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
34,"topic_0,zodiac_sign_Taurus,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
35,"topic_0,zodiac_sign_Virgo,sent_count_(-0.001, 15.0]","punct_per_tokens_(-0.001, 0.1]"
36,"topic_0,zodiac_sign_Virgo,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
37,"topic_6,zodiac_sign_Aquarius,punct_per_tokens_(-0.001, 0.1]","punct_per_sents_(-0.001, 1.0]"
38,"topic_6,zodiac_sign_Aries,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
39,"topic_6,zodiac_sign_Capricorn,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
40,"topic_6,zodiac_sign_Leo,pron_per_tokens_(-0.001, 0.025]","punct_per_tokens_(-0.001, 0.1]"
41,"topic_6,zodiac_sign_Pisces,pron_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
42,"topic_6,zodiac_sign_Pisces,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
43,"topic_6,zodiac_sign_Sagittarius,pron_per_sents_(-0.001, 1.0]","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
44,"topic_6,zodiac_sign_Taurus,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
45,"topic_6,zodiac_sign_Taurus,pron_per_tokens_(-0.001, 0.025]","punct_per_sents_(-0.001, 1.0]"
46,"topic_6,zodiac_sign_Virgo,pron_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
47,"topic_6,zodiac_sign_Virgo,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
48,"topic_6,zodiac_sign_Virgo,sarcasm_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
49,"topic_8,zodiac_sign_Leo,pron_per_sents_(-0.001, 1.0]","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
50,"topic_8,zodiac_sign_Leo,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0],punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
51,"topic_8,zodiac_sign_Scorpio,pron_per_sents_(-0.001, 1.0]","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
52,"topic_8,zodiac_sign_Virgo,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
53,"topic_9,zodiac_sign_Aquarius,pron_per_sents_(-0.001, 1.0]","punct_per_sents_(-0.001, 1.0]"
54,"topic_9,zodiac_sign_Aries,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
55,"topic_9,zodiac_sign_Aries,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
56,"topic_9,zodiac_sign_Cancer,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
57,"topic_9,zodiac_sign_Cancer,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
58,"topic_9,zodiac_sign_Gemini,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
59,"topic_9,zodiac_sign_Leo,pron_per_tokens_(-0.001, 0.025]","punct_per_tokens_(-0.001, 0.1]"
60,"topic_9,zodiac_sign_Libra,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
61,"topic_9,zodiac_sign_Pisces,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
62,"topic_9,zodiac_sign_Scorpio,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
63,"topic_9,zodiac_sign_Scorpio,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
64,"topic_9,zodiac_sign_Virgo,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
65,"topic_11,zodiac_sign_Cancer,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
66,"topic_11,zodiac_sign_Cancer,sarcasm_(-0.001, 0.2]","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
67,"topic_11,zodiac_sign_Gemini,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
68,"topic_11,zodiac_sign_Pisces,pron_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
69,"topic_11,zodiac_sign_Pisces,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
70,"topic_11,zodiac_sign_Sagittarius,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
71,"topic_11,zodiac_sign_Scorpio,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
72,"topic_11,zodiac_sign_Virgo,pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
73,"topic_11,zodiac_sign_Virgo,punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
74,"topic_21,zodiac_sign_Cancer,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
75,"topic_21,zodiac_sign_Leo,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
76,"topic_21,zodiac_sign_Libra,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
77,"topic_21,zodiac_sign_Sagittarius,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
78,"topic_21,zodiac_sign_Taurus,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
79,"topic_21,zodiac_sign_Virgo,token_count_(-0.001, 150.0]","sent_count_(-0.001, 15.0]"
80,"zodiac_sign_Aquarius,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
81,"zodiac_sign_Aquarius,token_count_(-0.001, 150.0],sentiment_[0.0, 0.2)","sent_count_(-0.001, 15.0]"
82,"zodiac_sign_Aquarius,token_count_(-0.001, 150.0],irony_(-0.001, 0.2]","sent_count_(-0.001, 15.0]"
83,"zodiac_sign_Aquarius,token_count_(150.0, 300.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
84,"zodiac_sign_Aquarius,pron_per_tokens_(-0.001, 0.025],sentiment_[0.0, 0.2)","pron_per_sents_(-0.001, 1.0]"
85,"zodiac_sign_Aquarius,pron_per_tokens_(0.025, 0.05],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
86,"zodiac_sign_Aquarius,punct_per_sents_(-0.001, 1.0],sentiment_[0.6, 0.8)","punct_per_tokens_(-0.001, 0.1]"
87,"zodiac_sign_Aries,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
88,"zodiac_sign_Aries,token_count_(-0.001, 150.0],irony_(0.8, 1.0]","sent_count_(-0.001, 15.0]"
89,"zodiac_sign_Aries,token_count_(150.0, 300.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
90,"zodiac_sign_Cancer,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
91,"zodiac_sign_Cancer,pron_per_sents_(-0.001, 1.0],sentiment_[0.4, 0.6)","punct_per_tokens_(-0.001, 0.1]"
92,"zodiac_sign_Cancer,punct_per_sents_(-0.001, 1.0],sentiment_[0.4, 0.6)","punct_per_tokens_(-0.001, 0.1]"
93,"zodiac_sign_Capricorn,token_count_(150.0, 300.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
94,"zodiac_sign_Capricorn,pron_per_tokens_(0.025, 0.05],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
95,"zodiac_sign_Gemini,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0],sarcasm_(-0.001, 0.2]"
96,"zodiac_sign_Gemini,pron_per_tokens_(0.025, 0.05],irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
97,"zodiac_sign_Gemini,punct_per_sents_(-0.001, 1.0],sentiment_[0.6, 0.8)","punct_per_tokens_(-0.001, 0.1]"
98,"zodiac_sign_Gemini,punct_per_sents_(-0.001, 1.0],irony_(0.2, 0.4]","punct_per_tokens_(-0.001, 0.1]"
99,"zodiac_sign_Leo,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
100,"zodiac_sign_Leo,token_count_(-0.001, 150.0],sentiment_[0.0, 0.2)","sent_count_(-0.001, 15.0]"
101,"zodiac_sign_Leo,token_count_(-0.001, 150.0],irony_(0.8, 1.0]","sent_count_(-0.001, 15.0]"
102,"zodiac_sign_Leo,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025]","punct_per_tokens_(-0.001, 0.1]"
103,"zodiac_sign_Leo,token_count_(150.0, 300.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
104,"zodiac_sign_Libra,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
105,"zodiac_sign_Libra,token_count_(-0.001, 150.0],sentiment_[0.0, 0.2)","sent_count_(-0.001, 15.0]"
106,"zodiac_sign_Libra,token_count_(-0.001, 150.0],irony_(0.8, 1.0]","sent_count_(-0.001, 15.0]"
107,"zodiac_sign_Libra,token_count_(150.0, 300.0],irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
108,"zodiac_sign_Libra,punct_per_sents_(-0.001, 1.0],sentiment_[0.0, 0.2)","punct_per_tokens_(-0.001, 0.1]"
109,"zodiac_sign_Libra,punct_per_sents_(-0.001, 1.0],sentiment_[0.4, 0.6)","punct_per_tokens_(-0.001, 0.1]"
110,"zodiac_sign_Libra,punct_per_sents_(-0.001, 1.0],irony_(0.4, 0.6]","punct_per_tokens_(-0.001, 0.1]"
111,"zodiac_sign_Libra,sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
112,"zodiac_sign_Sagittarius,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","sent_count_(-0.001, 15.0]"
113,"zodiac_sign_Sagittarius,token_count_(-0.001, 150.0],sentiment_[0.0, 0.2)","sent_count_(-0.001, 15.0]"
114,"zodiac_sign_Sagittarius,token_count_(-0.001, 150.0],irony_(-0.001, 0.2]","sent_count_(-0.001, 15.0]"
115,"zodiac_sign_Sagittarius,token_count_(150.0, 300.0],pron_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
116,"zodiac_sign_Sagittarius,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025]","punct_per_tokens_(-0.001, 0.1]"
117,"zodiac_sign_Sagittarius,token_count_(150.0, 300.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
118,"zodiac_sign_Scorpio,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","sent_count_(-0.001, 15.0]"
119,"zodiac_sign_Scorpio,token_count_(-0.001, 150.0],irony_(0.8, 1.0]","sent_count_(-0.001, 15.0]"
120,"zodiac_sign_Scorpio,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
121,"zodiac_sign_Scorpio,token_count_(150.0, 300.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
122,"zodiac_sign_Scorpio,punct_per_sents_(-0.001, 1.0],irony_(0.4, 0.6]","punct_per_tokens_(-0.001, 0.1]"
123,"zodiac_sign_Scorpio,sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
124,"zodiac_sign_Taurus,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
125,"zodiac_sign_Taurus,token_count_(-0.001, 150.0],sentiment_[0.0, 0.2)","sent_count_(-0.001, 15.0]"
126,"zodiac_sign_Taurus,token_count_(-0.001, 150.0],irony_(0.8, 1.0]","sent_count_(-0.001, 15.0]"
127,"zodiac_sign_Taurus,punct_per_sents_(-0.001, 1.0],sentiment_[0.4, 0.6)","punct_per_tokens_(-0.001, 0.1]"
128,"zodiac_sign_Taurus,punct_per_sents_(-0.001, 1.0],irony_(0.4, 0.6]","punct_per_tokens_(-0.001, 0.1]"
129,"zodiac_sign_Virgo,token_count_(-0.001, 150.0],pron_per_tokens_(0.025, 0.05]","sent_count_(-0.001, 15.0]"
130,"zodiac_sign_Virgo,token_count_(-0.001, 150.0],sentiment_[0.0, 0.2)","sent_count_(-0.001, 15.0]"
131,"zodiac_sign_Virgo,token_count_(150.0, 300.0],sent_count_(-0.001, 15.0]","punct_per_tokens_(-0.001, 0.1]"
132,"zodiac_sign_Virgo,token_count_(150.0, 300.0],irony_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
133,"zodiac_sign_Virgo,sent_count_(-0.001, 15.0],sentiment_[0.4, 0.6)","punct_per_tokens_(-0.001, 0.1]"
134,"zodiac_sign_Virgo,punct_per_sents_(-0.001, 1.0],sentiment_[0.4, 0.6)","punct_per_tokens_(-0.001, 0.1]"
135,"zodiac_sign_Virgo,punct_per_sents_(-0.001, 1.0],irony_(0.8, 1.0]","punct_per_tokens_(-0.001, 0.1]"
136,"occupation_Student,zodiac_sign_Cancer,token_count_(-0.001, 150.0],punct_per_sents_(-0.001, 1.0]","sent_count_(-0.001, 15.0],sarcasm_(-0.001, 0.2]"
137,"occupation_Student,zodiac_sign_Cancer,token_count_(-0.001, 150.0],punct_per_tokens_(-0.001, 0.1]","sent_count_(-0.001, 15.0],sarcasm_(-0.001, 0.2]"
138,"occupation_Student,zodiac_sign_Capricorn,token_count_(-0.001, 150.0],sarcasm_(-0.001, 0.2]","sent_count_(-0.001, 15.0]"
139,"occupation_Student,zodiac_sign_Leo,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
140,"occupation_Student,zodiac_sign_Pisces,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0]"
141,"occupation_Student,zodiac_sign_Scorpio,pron_per_sents_(-0.001, 1.0],pron_per_tokens_(-0.001, 0.025]","punct_per_tokens_(-0.001, 0.1]"
142,"occupation_Student,zodiac_sign_Scorpio,pron_per_tokens_(-0.001, 0.025],punct_per_tokens_(-0.001, 0.1]","pron_per_sents_(-0.001, 1.0]"
143,"occupation_indUnk,zodiac_sign_Aries,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","sent_count_(-0.001, 15.0],pron_per_sents_(-0.001, 1.0]"
144,"occupation_indUnk,zodiac_sign_Cancer,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
145,"occupation_indUnk,zodiac_sign_Cancer,punct_per_sents_(-0.001, 1.0],irony_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
146,"occupation_indUnk,zodiac_sign_Capricorn,pron_per_sents_(-0.001, 1.0],irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
147,"occupation_indUnk,zodiac_sign_Gemini,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
148,"occupation_indUnk,zodiac_sign_Leo,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","sent_count_(-0.001, 15.0]"
149,"occupation_indUnk,zodiac_sign_Libra,pron_per_sents_(-0.001, 1.0],irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
150,"occupation_indUnk,zodiac_sign_Pisces,token_count_(-0.001, 150.0],sent_count_(-0.001, 15.0]","punct_per_tokens_(-0.001, 0.1]"
151,"occupation_indUnk,zodiac_sign_Pisces,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","pron_per_sents_(-0.001, 1.0]"
152,"occupation_indUnk,zodiac_sign_Pisces,token_count_(-0.001, 150.0],punct_per_tokens_(-0.001, 0.1]","sent_count_(-0.001, 15.0]"
153,"occupation_indUnk,zodiac_sign_Pisces,sent_count_(-0.001, 15.0],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
154,"occupation_indUnk,zodiac_sign_Pisces,punct_per_sents_(-0.001, 1.0],irony_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
155,"occupation_indUnk,zodiac_sign_Sagittarius,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025]","sent_count_(-0.001, 15.0],pron_per_sents_(-0.001, 1.0]"
156,"occupation_indUnk,zodiac_sign_Sagittarius,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0]"
157,"occupation_indUnk,zodiac_sign_Virgo,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
158,"topic_6,zodiac_sign_Gemini,punct_per_sents_(-0.001, 1.0],sarcasm_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
159,"topic_6,zodiac_sign_Leo,pron_per_sents_(-0.001, 1.0],pron_per_tokens_(-0.001, 0.025]","punct_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
160,"topic_6,zodiac_sign_Leo,pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]","punct_per_sents_(-0.001, 1.0]"
161,"topic_6,zodiac_sign_Leo,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
162,"topic_6,zodiac_sign_Pisces,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
163,"topic_9,zodiac_sign_Sagittarius,sent_count_(-0.001, 15.0],punct_per_tokens_(-0.001, 0.1]","punct_per_sents_(-0.001, 1.0]"
164,"topic_11,zodiac_sign_Gemini,pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]","punct_per_sents_(-0.001, 1.0]"
165,"topic_21,zodiac_sign_Aries,token_count_(-0.001, 150.0],punct_per_tokens_(-0.001, 0.1]","sent_count_(-0.001, 15.0]"
166,"topic_21,zodiac_sign_Capricorn,token_count_(-0.001, 150.0],sarcasm_(-0.001, 0.2]","sent_count_(-0.001, 15.0]"
167,"topic_21,zodiac_sign_Gemini,token_count_(-0.001, 150.0],punct_per_tokens_(-0.001, 0.1]","sent_count_(-0.001, 15.0]"
168,"zodiac_sign_Aquarius,token_count_(150.0, 300.0],pron_per_sents_(-0.001, 1.0],pron_per_tokens_(-0.001, 0.025]","punct_per_tokens_(-0.001, 0.1]"
169,"zodiac_sign_Aries,punct_per_sents_(-0.001, 1.0],sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
170,"zodiac_sign_Aries,punct_per_tokens_(-0.001, 0.1],sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
171,"zodiac_sign_Cancer,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
172,"zodiac_sign_Cancer,punct_per_sents_(-0.001, 1.0],sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
173,"zodiac_sign_Capricorn,pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1],sentiment_[0.0, 0.2)","punct_per_sents_(-0.001, 1.0],sarcasm_(-0.001, 0.2]"
174,"zodiac_sign_Capricorn,pron_per_tokens_(-0.001, 0.025],punct_per_tokens_(-0.001, 0.1],sentiment_[0.0, 0.2)","punct_per_sents_(-0.001, 1.0],sarcasm_(-0.001, 0.2]"
175,"zodiac_sign_Gemini,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
176,"zodiac_sign_Leo,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0]"
177,"zodiac_sign_Leo,token_count_(150.0, 300.0],sent_count_(-0.001, 15.0],pron_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
178,"zodiac_sign_Pisces,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0]"
179,"zodiac_sign_Pisces,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025],sarcasm_(-0.001, 0.2]","pron_per_sents_(-0.001, 1.0]"
180,"zodiac_sign_Pisces,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0]"
181,"zodiac_sign_Sagittarius,pron_per_tokens_(0.025, 0.05],punct_per_sents_(-0.001, 1.0],sarcasm_(-0.001, 0.2]","punct_per_tokens_(-0.001, 0.1]"
182,"zodiac_sign_Taurus,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025],irony_(-0.001, 0.2]","pron_per_sents_(-0.001, 1.0]"
183,"zodiac_sign_Taurus,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
184,"zodiac_sign_Taurus,sent_count_(-0.001, 15.0],sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","sarcasm_(-0.001, 0.2]"
185,"zodiac_sign_Taurus,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0],sentiment_[0.0, 0.2)","pron_per_sents_(-0.001, 1.0]"
186,"zodiac_sign_Taurus,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0],irony_(-0.001, 0.2]","pron_per_sents_(-0.001, 1.0]"
187,"zodiac_sign_Taurus,pron_per_tokens_(-0.001, 0.025],sentiment_[0.0, 0.2),irony_(-0.001, 0.2]","pron_per_sents_(-0.001, 1.0]"
188,"zodiac_sign_Taurus,pron_per_tokens_(-0.001, 0.025],sentiment_[0.0, 0.2),sarcasm_(-0.001, 0.2]","pron_per_sents_(-0.001, 1.0]"
189,"zodiac_sign_Virgo,token_count_(-0.001, 150.0],pron_per_tokens_(-0.001, 0.025],irony_(-0.001, 0.2]","pron_per_sents_(-0.001, 1.0]"
190,"zodiac_sign_Virgo,token_count_(150.0, 300.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","punct_per_tokens_(-0.001, 0.1]"
191,"zodiac_sign_Virgo,pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0],sentiment_[0.0, 0.2)","pron_per_sents_(-0.001, 1.0]"
192,"occupation_indUnk,zodiac_sign_Pisces,sent_count_(-0.001, 15.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0],punct_per_tokens_(-0.001, 0.1]"
193,"topic_9,zodiac_sign_Pisces,sent_count_(-0.001, 15.0],pron_per_tokens_(-0.001, 0.025],punct_per_sents_(-0.001, 1.0]","pron_per_sents_(-0.001, 1.0]"
